runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of classifying conflicts,runtime of building MDDs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.19,4,9,12720,44889,5298,5298,5295,5297,4,3,0,0,1,0,0,0,0,0,0.001,0.019,0.019,0.056,0.056,0.739,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-0.agents
0.507,20,40,37008,123130,7615,7615,7608,7612,6,18,1,0,1,0,0,0,0,0.002,0.003,0.099,0.083,0.258,0.26,0.789,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-1.agents
0.638,29,59,57725,159216,6512,6512,6506,6510,5,22,7,0,0,0,0,0,0,0,0.004,0.115,0.058,0.369,0.373,0.75,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-2.agents
1.237,71,143,123731,343330,6567,6567,6559,6564,13,64,7,0,0,0,0,0,0,0.001,0.01,0.236,0.218,0.848,0.858,0.786,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-3.agents
0.274,5,10,13243,54854,7518,7518,7515,7517,7,4,1,0,0,0,0,0,0,0,0.002,0.04,0.034,0.077,0.078,0.732,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-4.agents
0.595,15,30,48429,143208,7546,7546,7540,7543,9,14,1,0,0,0,0,0,0,0,0.001,0.147,0.142,0.288,0.288,0.742,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-5.agents
0.7,27,54,73704,191894,7645,7645,7637,7641,4,27,0,0,0,0,0,0,0,0,0.007,0.132,0.13,0.404,0.41,0.731,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-6.agents
1.782,97,194,145205,411674,7785,7785,7773,7779,8,97,0,0,0,0,0,0,0,0.004,0.012,0.442,0.378,1.171,1.182,0.735,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-7.agents
0.666,28,56,51650,158778,6932,6932,6925,6928,8,28,0,0,0,0,0,0,0,0,0.002,0.139,0.126,0.363,0.364,0.74,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-8.agents
0.296,10,21,19490,68484,6312,6312,6307,6310,6,10,0,0,0,0,0,0,0,0,0.001,0.049,0.049,0.122,0.122,0.729,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-9.agents
2.84,206,413,241018,658771,7772,7772,7762,7768,3,199,7,0,0,0,0,0,0,0.005,0.023,0.43,0.364,2.196,2.218,0.744,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-10.agents
0.371,18,36,24346,84354,6836,6836,6830,6834,5,16,1,0,1,0,0,0,0,0,0.002,0.036,0.031,0.192,0.193,0.713,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-11.agents
0.234,8,16,10704,44771,6135,6135,6131,6133,8,8,0,0,0,0,0,0,0,0,0,0.023,0.023,0.087,0.087,0.739,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-12.agents
33.128,1272,2544,3228974,8828322,7153,7153,7141,7146,740,920,45,7,300,0,0,0,0.002,0.015,0.19,10.292,5.24,22.447,22.652,0.744,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-13.agents
2.959,133,267,336212,874926,6498,6498,6489,6493,61,125,7,0,1,0,0,0,0.002,0,0.017,0.677,0.64,2.128,2.145,0.757,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-14.agents
0.488,24,49,31135,97421,6017,6017,6007,6011,5,22,0,0,2,0,0,0,0,0,0.004,0.086,0.07,0.269,0.272,0.724,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-15.agents
2.01,122,244,248810,628084,5571,5571,5553,5558,7,120,0,0,2,0,0,0,0,0.003,0.018,0.496,0.488,1.356,1.373,0.766,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-16.agents
0.547,17,34,53662,155993,7445,7445,7438,7442,7,17,0,0,0,0,0,0,0,0,0.002,0.131,0.128,0.265,0.266,0.764,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-17.agents
0.178,3,6,8237,37073,5659,5659,5657,5659,6,2,1,0,0,0,0,0,0,0,0.002,0.016,0.015,0.048,0.049,0.794,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-18.agents
0.829,24,49,36302,137839,6474,6474,6467,6472,37,17,3,0,4,0,0,0,0,0.001,0.008,0.249,0.062,0.418,0.426,0.715,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-19.agents
0.232,6,12,11911,49759,6276,6276,6273,6275,6,6,0,0,0,0,0,0,0,0,0.002,0.023,0.023,0.076,0.077,0.727,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-20.agents
3.174,222,445,284769,801813,7078,7078,7068,7072,7,221,1,0,0,0,0,0,0,0.004,0.02,0.647,0.638,2.338,2.36,0.733,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-21.agents
4.356,219,439,484268,1220882,6863,6863,6850,6857,7,207,12,0,0,0,0,0,0.002,0.013,0.026,1.208,0.937,2.95,2.977,0.723,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-22.agents
2.108,103,206,251956,574241,7014,7014,6993,6999,27,95,5,0,3,0,0,0,0,0.001,0.011,0.489,0.47,1.454,1.464,0.777,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-23.agents
3.934,244,488,345347,895719,7411,7411,7400,7406,12,242,1,0,1,0,0,0,0.005,0.003,0.024,0.914,0.816,2.82,2.843,0.774,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-24.agents
0.319,11,22,21123,73279,6049,6049,6043,6047,7,8,2,0,1,0,0,0,0,0,0.001,0.07,0.043,0.123,0.123,0.748,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-25.agents
3.878,240,480,260964,800984,5909,5909,5895,5901,213,220,15,0,5,0,0,0,0,0.002,0.024,0.883,0.435,2.835,2.86,0.732,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-26.agents
41.826,1142,2273,7735915,12831621,6959,6959,6946,6951,231,1051,81,0,10,0,0,0,0.01,0.009,0.127,9.8,8.006,31.671,31.806,0.749,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-27.agents
0.635,40,80,47443,151515,6166,6166,6158,6162,5,39,0,0,1,0,0,0,0,0.001,0.005,0.135,0.12,0.36,0.364,0.714,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-28.agents
0.409,14,28,26429,82330,6463,6463,6458,6461,11,13,1,0,0,0,0,0,0,0,0.002,0.087,0.055,0.192,0.193,0.731,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-29.agents
0.753,46,92,54773,162738,6169,6169,6160,6165,2,45,1,0,0,0,0,0,0,0.003,0.002,0.142,0.135,0.445,0.447,0.748,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-30.agents
0.227,7,14,9587,41524,6278,6278,6274,6276,6,7,0,0,0,0,0,0,0,0,0.001,0.021,0.02,0.077,0.077,0.747,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-31.agents
0.745,33,67,70581,202860,7281,7281,7272,7277,9,28,4,0,1,0,0,0,0,0,0.005,0.112,0.098,0.451,0.454,0.775,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-32.agents
0.542,20,40,52894,145216,5928,5928,5922,5925,4,17,3,0,0,0,0,0,0,0.001,0.002,0.139,0.091,0.254,0.255,0.754,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-33.agents
23.93,1245,2487,2938630,7121211,6928,6928,6915,6921,212,1226,0,0,19,0,0,0,0.001,0.009,0.147,5.739,5.046,17.843,18.002,0.773,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-34.agents
0.354,16,32,18503,75573,7353,7353,7346,7351,6,15,1,0,0,0,0,0,0,0.001,0.003,0.039,0.038,0.171,0.173,0.733,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-35.agents
0.274,5,10,23319,73384,6753,6753,6749,6751,5,5,0,0,0,0,0,0,0,0,0.003,0.038,0.038,0.101,0.102,0.732,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-36.agents
0.309,9,18,16207,65239,6051,6051,6047,6050,11,8,1,0,0,0,0,0,0,0,0.005,0.038,0.037,0.118,0.122,0.78,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-37.agents
0.248,3,6,12994,49421,5590,5590,5587,5589,13,2,0,0,1,0,0,0,0.001,0,0.002,0.032,0.03,0.096,0.097,0.756,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-38.agents
0.419,8,16,34109,99225,6822,6822,6812,6816,11,7,0,0,1,0,0,0,0,0,0.003,0.072,0.068,0.199,0.201,0.743,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-39.agents
0.232,4,9,11068,46839,6202,6202,6200,6202,7,3,1,0,0,0,0,0,0,0,0.001,0.034,0.027,0.074,0.074,0.722,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-40.agents
0.423,15,30,25340,98267,7216,7216,7212,7216,15,7,7,0,1,0,0,0,0,0,0.002,0.059,0.048,0.215,0.217,0.746,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-41.agents
0.343,8,16,18943,70844,6953,6953,6948,6951,10,7,0,0,1,0,0,0,0,0,0.003,0.072,0.041,0.135,0.137,0.732,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-42.agents
0.368,10,20,18936,69049,7572,7572,7567,7570,3,9,1,0,0,0,0,0,0,0,0.004,0.063,0.043,0.142,0.145,0.745,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-43.agents
1.528,76,153,168352,467133,6013,6013,6005,6009,39,62,4,0,10,0,0,0,0,0,0.01,0.365,0.343,1.027,1.036,0.776,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-44.agents
5.438,348,697,542017,1490937,6500,6500,6489,6494,33,328,0,0,20,0,0,0,0.002,0.005,0.031,1.388,1.116,3.876,3.906,0.714,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-45.agents
0.445,15,30,37686,115770,7188,7188,7182,7186,6,14,1,0,0,0,0,0,0,0.002,0.001,0.087,0.066,0.204,0.204,0.746,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-46.agents
0.218,4,8,11549,46018,5937,5937,5935,5936,7,4,0,0,0,0,0,0,0,0,0.001,0.02,0.018,0.065,0.065,0.709,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-47.agents
0.415,11,22,28036,94971,7348,7348,7339,7343,7,7,3,0,1,0,0,0,0,0,0.005,0.095,0.045,0.155,0.159,0.727,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-48.agents
0.633,26,52,51939,144303,7317,7317,7308,7313,6,22,2,0,2,0,0,0,0,0.003,0.003,0.115,0.096,0.339,0.342,0.755,Disjoint CG+GR+C+T+BP with AStar,D:\MAPF-instances\dao_maps\lak503d\lak503dmap-60agents-49.agents
